,680062
為る,28047
居る,12126
有る,7844
言う,6185
成る,5212
来る,2155
見る,2084
出来る,2070
因る,1946
行く,1915
思う,1741
つく,1246
行う,1210
於く,1187
対する,961
考える,839
仕舞う,821
使う,760
持つ,745
分かる,745
遣る,739
取る,707
出る,679
作る,623
聞く,608
入る,597
関する,596
呉れる,582
下さる,560
知る,538
受ける,504
置く,458
貰う,439
出す,414
図る,387
付ける,373
書く,373
見える,371
得る,364
掛ける,359
掛かる,359
始める,350
上げる,350
入れる,332
食べる,329
買う,328
知れる,326
教える,324
付く,322
求める,321
続ける,318
続く,313
話す,289
感ずる,289
開く,273
切る,272
変わる,265
示す,263
過ぎる,255
加える,253
呼ぶ,248
違う,242
生きる,242
進める,242
向ける,230
認める,227
進む,216
読む,215
返る,211
含む,210
増える,209
立つ,205
頂く,204
通ずる,203
決める,201
合わせる,197
目指す,194
始まる,192
乗る,191
基づく,184
与える,184
送る,182
越える,182
変える,181
歩く,180
取り組む,176
残る,172
終わる,172
語る,171
待つ,170
当たる,170
応ずる,168
願う,168
働く,166
飲む,164
守る,164
渡る,156
伝える,155
楽しむ,154
止める,153
会う,152
走る,152
死ぬ,152
選ぶ,151
答える,151
関わる,150
述べる,149
向かう,147
戻る,146
生まれる,146
見せる,142
動く,140
起きる,137
比べる,135
頑張る,133
含める,130
伴う,128
描く,126
勧める,126
打つ,124
上がる,123
巡る,121
住む,115
起こす,115
決まる,114
並ぶ,114
迎える,114
忘れる,113
踏まえる,112
繋がる,111
残す,109
除く,107
広がる,107
上る,106
起こる,106
探す,105
調べる,105
失う,105
学ぶ,104
立てる,103
払う,102
訪れる,99
占める,98
乗せる,97
離れる,97
減る,97
集める,97
許す,96
売る,96
努める,95
果たす,94
纏める,94
取れる,94
異なる,93
集まる,92
無くなる,90
着る,90
現われる,90
済む,89
支払う,88
気付く,87
有する,87
支える,86
覚える,86
合う,85
流れる,85
歌う,85
従う,85
高まる,84
抱える,84
繰り返す,82
笑う,81
通す,81
触れる,81
あっ,80
受け入れる,80
似る,80
引く,79
驚く,79
思い出す,79
暮らす,79
問う,79
捨てる,78
見付ける,78
御座る,78
遊ぶ,78
回る,78
消える,77
運ぶ,77
至る,77
ああ,77
為さる,77
迫る,76
経つ,75
生む,75
落ちる,75
限る,75
生ずる,74
目立つ,74
殺す,74
聞こえる,74
連れる,74
届く,73
定める,72
捕らえる,72
経る,72
設ける,72
勤める,71
押さえる,71
用いる,71
寝る,70
生かす,70
困る,69
振る,69
喜ぶ,68
差す,67
達する,67
通う,66
信ずる,66
結ぶ,66
下りる,66
押す,66
掲げる,66
伸びる,66
勝つ,65
優れる,65
狙う,64
戦う,64
流す,64
抜く,64
避ける,63
及ぶ,63
過ごす,63
開ける,63
張る,63
飛ぶ,62
